GENDER	AGE	MEMBER POL. PARTY	INFO: PRESS	INFO: TV RADIO	INFO: POL. MEETING	INFO: PARTY PRESS	INFO: ELECT. PUBLICATION	INFO: CONVERSATION	INFO: NOT INTERESTED	STATE AND MASS MEDIA	RESULT INFLUEN.VOTING	WHICH PARTY LAST ELECT.
Female	27	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Female	66	Not a member	No	Yes	No	No	No	No	No	The state should have limited influe	NA	HDZ
Male	32	Not a member	No	No	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	29	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have strong influen	No	HDZ
Male	39	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Male	38	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Female	33	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Female	50	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	32	Not a member	No	Yes	No	No	No	Yes	No	The state should not intervene in th	No	For the independent candidate
Female	34	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Female	33	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Female	20	Not a member	No	Yes	No	No	No	No	Yes	The state should not intervene in th	No	HDZ
Male	50	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	31	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	I did not vote
Female	57	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Male	60	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have strong influen	No	HDZ
Male	24	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Male	36	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	Savez komunista Hrvatske - Stranka d
Female	45	Not a member	Yes	Yes	No	No	No	No	Yes	The state should not intervene in th	No	Koalicija narodnog sporazuma  Hrvats
Male	40	HDZ	Yes	Yes	Yes	Yes	No	Yes	No	The state should not intervene in th	No	HDZ
Female	20	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	26	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Female	22	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Female	40	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Female	49	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Male	28	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	I did not vote
Female	18	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Male	31	Not a member	Yes	Yes	No	Yes	Yes	Yes	No	The state should have limited influe	No	HDZ
Female	44	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	41	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	HDZ
Male	56	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	25	Not a member	Yes	Yes	No	No	No	No	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Male	42	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	For the independent candidate
Female	33	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Female	34	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	Koalicija narodnog sporazuma  Hrvats
Female	29	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	37	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Male	50	Not a member	Yes	Yes	No	No	No	No	No	The state should have limited influe	No	HDZ
Male	42	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	40	Not a member	Yes	Yes	No	Yes	No	Yes	Yes	The state should have limited influe	No	HDZ
Male	26	Not a member	Yes	Yes	No	No	No	No	Yes	The state should not intervene in th	No	I did not vote
Female	30	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	20	Not a member	No	Yes	No	No	No	Yes	Yes	The state should not intervene in th	No	I did not vote
Male	60	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	41	Not a member	Yes	Yes	No	No	NA	Yes	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	58	Not a member	Yes	No	No	No	No	No	No	The state should not intervene in th	No	Savez zelenih Hrvatske  Zelelna akci
Male	31	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	No	I did not vote
Female	42	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HDZ
Male	26	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have strong influen	No	For the independent candidate
Male	51	Not a member	No	Yes	No	No	No	No	No	The state should have strong influen	No	HDZ
Male	59	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	Savez komunista Hrvatske - Stranka d
Female	23	Not a member	No	Yes	No	No	No	No	No	The state should not intervene in th	Yes	HDZ
Female	21	Not a member	No	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
Female	20	Not a member	Yes	Yes	No	No	No	Yes	No	The state should not intervene in th	No	HSS
Female	24	Not a member	Yes	Yes	No	Yes	No	Yes	No	The state should not intervene in th	No	I did not vote
Male	23	Not a member	Yes	Yes	No	No	No	Yes	No	The state should have limited influe	No	HDZ
