GENDER;AGE;MEMBER POL. PARTY;INFO: PRESS;INFO: TV RADIO;INFO: POL. MEETING;INFO: PARTY PRESS;INFO: ELECT. PUBLICATION;INFO: CONVERSATION;INFO: NOT INTERESTED;STATE AND MASS MEDIA;RESULT INFLUEN.VOTING;WHICH PARTY LAST ELECT.
Male;18-28 years;Not a member;Yes;Yes;No;No;No;No;No;The state should not intervene in th;No;HDZ
Female;62 and more;Not a member;No;Yes;No;No;No;No;No;The state should have limited influe;NA;HDZ
Male;29-39;Not a member;No;No;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Male;29-39;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have strong influen;No;HDZ
Male;29-39;Not a member;Yes;Yes;No;No;No;No;No;The state should not intervene in th;No;HDZ
Male;29-39;Not a member;Yes;Yes;No;No;No;No;No;The state should not intervene in th;No;HDZ
Female;29-39;Not a member;Yes;Yes;No;Yes;No;Yes;No;The state should have limited influe;No;Koalicija narodnog sporazuma  Hrvats
Female;40-50;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Male;29-39;Not a member;No;Yes;No;No;No;Yes;No;The state should not intervene in th;No;For the independent candidate
Female;29-39;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;I did not vote
Female;29-39;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;Koalicija narodnog sporazuma  Hrvats
Male;18-28 years;Not a member;No;Yes;No;No;No;No;Yes;The state should not intervene in th;No;HDZ
Male;40-50;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Female;29-39;Not a member;Yes;Yes;No;No;No;No;No;The state should have limited influe;No;I did not vote
Female;51-61;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have limited influe;No;Koalicija narodnog sporazuma  Hrvats
Male;51-61;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have strong influen;No;HDZ
Male;18-28 years;Not a member;Yes;Yes;No;No;No;No;No;The state should not intervene in th;No;HDZ
Female;29-39;Not a member;No;Yes;No;No;No;Yes;No;The state should have limited influe;No;Savez komunista Hrvatske - Stranka d
Female;40-50;Not a member;Yes;Yes;No;No;No;No;Yes;The state should not intervene in th;No;Koalicija narodnog sporazuma  Hrvats
Male;40-50;HDZ;Yes;Yes;Yes;Yes;No;Yes;No;The state should not intervene in th;No;HDZ
Male;18-28 years;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have limited influe;No;HDZ
Male;18-28 years;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Female;18-28 years;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;I did not vote
Male;40-50;Not a member;No;Yes;No;No;No;No;No;The state should not intervene in th;No;HDZ
Male;40-50;Not a member;Yes;Yes;No;No;No;No;No;The state should have limited influe;No;HDZ
Female;18-28 years;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;I did not vote
Male;18-28 years;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have limited influe;No;HDZ
Male;29-39;Not a member;Yes;Yes;No;Yes;Yes;Yes;No;The state should have limited influe;No;HDZ
Female;40-50;Not a member;No;Yes;No;No;No;No;No;The state should not intervene in th;No;Savez komunista Hrvatske - Stranka d
Male;40-50;Not a member;Yes;Yes;No;No;No;No;No;The state should not intervene in th;No;HDZ
Male;51-61;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have limited influe;No;HDZ
Female;18-28 years;Not a member;Yes;Yes;No;No;No;No;No;The state should not intervene in th;No;Savez komunista Hrvatske - Stranka d
Male;40-50;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;For the independent candidate
Male;29-39;Not a member;Yes;Yes;No;No;No;No;No;The state should have limited influe;No;HDZ
Female;29-39;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have limited influe;No;Koalicija narodnog sporazuma  Hrvats
Male;29-39;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Male;29-39;Not a member;Yes;Yes;No;No;No;No;No;The state should have limited influe;No;HDZ
Male;40-50;Not a member;Yes;Yes;No;No;No;No;No;The state should have limited influe;No;HDZ
Male;40-50;Not a member;Yes;Yes;No;No;No;Yes;No;The state should have limited influe;No;HDZ
Male;40-50;Not a member;Yes;Yes;No;Yes;No;Yes;Yes;The state should have limited influe;No;HDZ
Female;18-28 years;Not a member;Yes;Yes;No;No;No;No;Yes;The state should not intervene in th;No;I did not vote
Male;29-39;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Female;18-28 years;Not a member;No;Yes;No;No;No;Yes;Yes;The state should not intervene in th;No;I did not vote
Male;51-61;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
Female;40-50;Not a member;Yes;Yes;No;No;NA;Yes;No;The state should not intervene in th;No;Savez komunista Hrvatske - Stranka d
Female;51-61;Not a member;Yes;No;No;No;No;No;No;The state should not intervene in th;No;Savez zelenih Hrvatske  Zelelna akci
Male;29-39;Not a member;No;Yes;No;No;No;No;No;The state should not intervene in th;No;I did not vote
Male;40-50;Not a member;Yes;Yes;No;No;No;Yes;No;The state should not intervene in th;No;HDZ
