missing_percentage,confidence_factor,correctly_classified,accuracy
0.0,0.025,941,49.8411
0.0,0.05,942,49.8941
0.0,0.075,942,49.8941
0.0,0.125,942,49.8941
0.0,0.150,944,50
0.0,0.175,944,50
0.0,0.1,942,49.8941
0.0,0.225,995,52.7013
0.0,0.25,1001,53.0191
0.0,0.275,1085,57.4682
0.0,0.2,978,51.8008
0.0,0.325,1136,60.1695
0.0,0.350,1144,60.5932
0.0,0.375,1148,60.8051
0.0,0.3,1136,60.1695
0.0,0.425,1172,62.0763
0.0,0.45,1176,62.2881
0.0,0.475,1187,62.8708
0.0,0.4,1164,61.6525
0.0,0.5,1187,62.8708
10.0,0.025,888,47.0339
10.0,0.05,928,49.1525
10.0,0.075,928,49.1525
10.0,0.125,928,49.1525
10.0,0.150,932,49.3644
10.0,0.175,932,49.3644
10.0,0.1,928,49.1525
10.0,0.225,989,52.3835
10.0,0.25,999,52.9131
10.0,0.275,1090,57.7331
10.0,0.2,933,49.4174
10.0,0.325,1122,59.428
10.0,0.350,1139,60.3284
10.0,0.375,1147,60.7521
10.0,0.3,1117,59.1631
10.0,0.425,1173,62.1292
10.0,0.45,1176,62.2881
10.0,0.475,1187,62.8708
10.0,0.4,1168,61.8644
10.0,0.5,1187,62.8708
12.5,0.025,935,49.5233
12.5,0.05,936,49.5763
12.5,0.075,936,49.5763
12.5,0.125,936,49.5763
12.5,0.150,939,49.7352
12.5,0.175,942,49.8941
12.5,0.1,936,49.5763
12.5,0.225,992,52.5424
12.5,0.25,998,52.8602
12.5,0.275,1001,53.0191
12.5,0.2,976,51.6949
12.5,0.325,1109,58.7394
12.5,0.350,1113,58.9513
12.5,0.375,1124,59.5339
12.5,0.3,1078,57.0975
12.5,0.425,1162,61.5466
12.5,0.45,1162,61.5466
12.5,0.475,1174,62.1822
12.5,0.4,1144,60.5932
12.5,0.5,1174,62.1822
15.0,0.025,938,49.6822
15.0,0.05,939,49.7352
15.0,0.075,939,49.7352
15.0,0.125,941,49.8411
15.0,0.150,941,49.8411
15.0,0.175,941,49.8411
15.0,0.1,939,49.7352
15.0,0.225,994,52.6483
15.0,0.25,1000,52.9661
15.0,0.275,1087,57.5742
15.0,0.2,942,49.8941
15.0,0.325,1100,58.2627
