noise_percentage,confidence_factor,correctly_classified,accuracy
01.000,0.025,931,49.3114
01.000,0.05,932,49.3644
01.000,0.075,932,49.3644
01.000,0.125,932,49.3644
01.000,0.150,932,49.3644
01.000,0.175,932,49.3644
01.000,0.1,932,49.3644
01.000,0.225,979,51.8538
01.000,0.25,996,52.7542
01.000,0.275,1073,56.8326
01.000,0.2,936,49.5763
01.000,0.325,1115,59.0572
01.000,0.350,1120,59.322
01.000,0.375,1133,60.0106
01.000,0.3,1086,57.5212
01.000,0.425,1169,61.9174
01.000,0.45,1175,62.2352
01.000,0.475,1178,62.3941
01.000,0.4,1161,61.4936
01.000,0.5,1178,62.3941
01.050,0.025,933,49.4174
01.050,0.05,934,49.4703
01.050,0.075,934,49.4703
01.050,0.125,934,49.4703
01.050,0.150,936,49.5763
01.050,0.175,936,49.5763
01.050,0.1,934,49.4703
01.050,0.225,992,52.5424
01.050,0.25,992,52.5424
01.050,0.275,995,52.7013
01.050,0.2,992,52.5424
01.050,0.325,1107,58.6335
01.050,0.350,1125,59.5869
01.050,0.375,1140,60.3814
01.050,0.3,1096,58.0508
01.050,0.425,1150,60.911
01.050,0.45,1163,61.5996
01.050,0.475,1174,62.1822
01.050,0.4,1146,60.6992
01.050,0.5,1174,62.1822
01.100,0.025,934,49.4703
01.100,0.05,935,49.5233
01.100,0.075,935,49.5233
01.100,0.125,935,49.5233
01.100,0.150,937,49.6292
01.100,0.175,937,49.6292
01.100,0.1,935,49.5233
01.100,0.225,997,52.8072
01.100,0.25,987,52.2775
01.100,0.275,989,52.3835
01.100,0.2,949,50.2648
01.100,0.325,1116,59.1102
01.100,0.350,1141,60.4343
01.100,0.375,1151,60.964
01.100,0.3,1109,58.7394
01.100,0.425,1168,61.8644
01.100,0.45,1180,62.5
01.100,0.475,1183,62.6589
01.100,0.4,1158,61.3347
01.100,0.5,1183,62.6589
01.150,0.025,936,49.5763
01.150,0.05,937,49.6292
01.150,0.075,937,49.6292
01.150,0.125,937,49.6292
01.150,0.150,939,49.7352
01.150,0.175,939,49.7352
01.150,0.1,937,49.6292
01.150,0.225,989,52.3835
01.150,0.25,987,52.2775
01.150,0.275,1076,56.9915
01.150,0.2,974,51.589
01.150,0.325,1132,59.9576
01.150,0.350,1133,60.0106
01.150,0.375,1144,60.5932
01.150,0.3,1120,59.322
01.150,0.425,1174,62.1822
01.150,0.45,1178,62.3941
01.150,0.475,1181,62.553
01.150,0.4,1157,61.2818
01.150,0.5,1181,62.553
01.200,0.025,934,49.4703
01.200,0.05,934,49.4703
01.200,0.075,935,49.5233
01.200,0.125,935,49.5233
01.200,0.150,937,49.6292
01.200,0.175,937,49.6292
01.200,0.1,935,49.5233
01.200,0.225,988,52.3305
01.200,0.25,992,52.5424
01.200,0.275,993,52.5953
01.200,0.2,948,50.2119
01.200,0.325,1123,59.4809
01.200,0.350,1127,59.6928
01.200,0.375,1133,60.0106
01.200,0.3,1095,57.9979
01.200,0.425,1163,61.5996
01.200,0.45,1174,62.1822
01.200,0.475,1177,62.3411
01.200,0.4,1153,61.0699
01.200,0.5,1177,62.3411
01.250,0.025,878,46.5042
01.250,0.05,931,49.3114
01.250,0.075,931,49.3114
01.250,0.125,931,49.3114
01.250,0.150,931,49.3114
01.250,0.175,931,49.3114
01.250,0.1,931,49.3114
01.250,0.225,976,51.6949
01.250,0.25,983,52.0657
01.250,0.275,1080,57.2034
01.250,0.2,971,51.4301
01.250,0.325,1123,59.4809
01.250,0.350,1124,59.5339
01.250,0.375,1135,60.1165
01.250,0.3,1091,57.786
01.250,0.425,1157,61.2818
01.250,0.45,1165,61.7055
01.250,0.475,1168,61.8644
01.250,0.4,1155,61.1758
01.250,0.5,1168,61.8644
01.300,0.025,879,46.5572
01.300,0.05,932,49.3644
01.300,0.075,932,49.3644
01.300,0.125,932,49.3644
01.300,0.150,934,49.4703
01.300,0.175,934,49.4703
01.300,0.1,932,49.3644
01.300,0.225,983,52.0657
01.300,0.25,984,52.1186
01.300,0.275,1009,53.4428
01.300,0.2,981,51.9597
01.300,0.325,1129,59.7987
01.300,0.350,1137,60.2225
01.300,0.375,1156,61.2288
01.300,0.3,1107,58.6335
01.300,0.425,1166,61.7585
01.300,0.45,1175,62.2352
01.300,0.475,1184,62.7119
01.300,0.4,1162,61.5466
01.300,0.5,1184,62.7119
01.350,0.025,933,49.4174
01.350,0.05,933,49.4174
01.350,0.075,934,49.4703
01.350,0.125,934,49.4703
01.350,0.150,936,49.5763
01.350,0.175,936,49.5763
01.350,0.1,934,49.4703
01.350,0.225,988,52.3305
01.350,0.25,982,52.0127
01.350,0.275,982,52.0127
01.350,0.2,947,50.1589
01.350,0.325,1115,59.0572
01.350,0.350,1123,59.4809
01.350,0.375,1132,59.9576
01.350,0.3,1098,58.1568
01.350,0.425,1164,61.6525
01.350,0.45,1170,61.9703
01.350,0.475,1173,62.1292
01.350,0.4,1132,59.9576
01.350,0.5,1173,62.1292
01.400,0.025,870,46.0805
01.400,0.05,923,48.8877
01.400,0.075,923,48.8877
01.400,0.125,923,48.8877
01.400,0.150,925,48.9936
01.400,0.175,925,48.9936
01.400,0.1,923,48.8877
01.400,0.225,984,52.1186
01.400,0.25,1097,58.1038
01.400,0.275,1104,58.4746
01.400,0.2,976,51.6949
01.400,0.325,1140,60.3814
01.400,0.350,1146,60.6992
01.400,0.375,1157,61.2818
01.400,0.3,1116,59.1102
01.400,0.425,1171,62.0233
01.400,0.45,1178,62.3941
01.400,0.475,1192,63.1356
01.400,0.4,1167,61.8114
01.400,0.5,1192,63.1356
01.450,0.025,876,46.3983
01.450,0.05,931,49.3114
01.450,0.075,931,49.3114
01.450,0.125,931,49.3114
01.450,0.150,931,49.3114
01.450,0.175,931,49.3114
01.450,0.1,931,49.3114
01.450,0.225,932,49.3644
01.450,0.25,993,52.5953
01.450,0.275,1001,53.0191
01.450,0.2,943,49.947
01.450,0.325,1128,59.7458
01.450,0.350,1136,60.1695
01.450,0.375,1158,61.3347
01.450,0.3,1101,58.3157
01.450,0.425,1170,61.9703
01.450,0.45,1179,62.447
01.450,0.475,1180,62.5
01.450,0.4,1160,61.4407
01.450,0.5,1191,63.0826
01.500,0.025,880,46.6102
01.500,0.05,934,49.4703
01.500,0.075,934,49.4703
01.500,0.125,934,49.4703
01.500,0.150,936,49.5763
01.500,0.175,936,49.5763
01.500,0.1,934,49.4703
01.500,0.225,990,52.4364
01.500,0.25,992,52.5424
01.500,0.275,999,52.9131
01.500,0.2,937,49.6292
01.500,0.325,1110,58.7924
01.500,0.350,1116,59.1102
01.500,0.375,1140,60.3814
01.500,0.3,1097,58.1038
01.500,0.425,1160,61.4407
01.500,0.45,1171,62.0233
01.500,0.475,1175,62.2352
01.500,0.4,1150,60.911
01.500,0.5,1179,62.447
01.550,0.025,874,46.2924
01.550,0.05,928,49.1525
01.550,0.075,928,49.1525
01.550,0.125,928,49.1525
01.550,0.150,930,49.2585
01.550,0.175,930,49.2585
01.550,0.1,928,49.1525
01.550,0.225,984,52.1186
01.550,0.25,985,52.1716
01.550,0.275,995,52.7013
01.550,0.2,931,49.3114
01.550,0.325,1090,57.7331
01.550,0.350,1094,57.9449
01.550,0.375,1110,58.7924
01.550,0.3,995,52.7013
01.550,0.425,1145,60.6462
01.550,0.45,1158,61.3347
01.550,0.475,1158,61.3347
01.550,0.4,1143,60.5403
01.550,0.5,1162,61.5466
01.600,0.025,878,46.5042
01.600,0.05,931,49.3114
01.600,0.075,931,49.3114
01.600,0.125,931,49.3114
01.600,0.150,933,49.4174
01.600,0.175,933,49.4174
01.600,0.1,931,49.3114
01.600,0.225,987,52.2775
01.600,0.25,985,52.1716
01.600,0.275,1005,53.2309
01.600,0.2,982,52.0127
01.600,0.325,1120,59.322
01.600,0.350,1145,60.6462
01.600,0.375,1151,60.964
01.600,0.3,1118,59.2161
01.600,0.425,1166,61.7585
01.600,0.45,1170,61.9703
01.600,0.475,1174,62.1822
01.600,0.4,1153,61.0699
01.600,0.5,1174,62.1822
01.650,0.025,923,48.8877
01.650,0.05,924,48.9407
01.650,0.075,924,48.9407
01.650,0.125,924,48.9407
01.650,0.150,924,48.9407
01.650,0.175,927,49.0996
01.650,0.1,924,48.9407
01.650,0.225,966,51.1653
01.650,0.25,1050,55.6144
01.650,0.275,1058,56.0381
01.650,0.2,928,49.1525
01.650,0.325,1115,59.0572
01.650,0.350,1115,59.0572
01.650,0.375,1124,59.5339
01.650,0.3,1110,58.7924
01.650,0.425,1152,61.0169
01.650,0.45,1158,61.3347
01.650,0.475,1158,61.3347
01.650,0.4,1148,60.8051
01.650,0.5,1158,61.3347
01.700,0.025,927,49.0996
01.700,0.05,928,49.1525
01.700,0.075,928,49.1525
01.700,0.125,928,49.1525
01.700,0.150,930,49.2585
01.700,0.175,930,49.2585
01.700,0.1,928,49.1525
01.700,0.225,982,52.0127
01.700,0.25,991,52.4894
01.700,0.275,1090,57.7331
01.700,0.2,974,51.589
01.700,0.325,1115,59.0572
01.700,0.350,1128,59.7458
01.700,0.375,1138,60.2754
01.700,0.3,1112,58.8983
01.700,0.425,1153,61.0699
01.700,0.45,1170,61.9703
01.700,0.475,1179,62.447
01.700,0.4,1147,60.7521
01.700,0.5,1179,62.447
01.750,0.025,873,46.2394
01.750,0.05,926,49.0466
01.750,0.075,926,49.0466
01.750,0.125,926,49.0466
01.750,0.150,928,49.1525
01.750,0.175,928,49.1525
01.750,0.1,926,49.0466
01.750,0.225,985,52.1716
01.750,0.25,986,52.2246
01.750,0.275,1072,56.7797
01.750,0.2,984,52.1186
01.750,0.325,1135,60.1165
01.750,0.350,1138,60.2754
01.750,0.375,1152,61.0169
01.750,0.3,1083,57.3623
01.750,0.425,1158,61.3347
01.750,0.45,1164,61.6525
01.750,0.475,1174,62.1822
01.750,0.4,1152,61.0169
01.750,0.5,1174,62.1822
01.800,0.025,936,49.5763
01.800,0.05,936,49.5763
01.800,0.075,937,49.6292
01.800,0.125,941,49.8411
01.800,0.150,941,49.8411
01.800,0.175,941,49.8411
01.800,0.1,941,49.8411
01.800,0.225,1004,53.178
01.800,0.25,1025,54.2903
01.800,0.275,1005,53.2309
01.800,0.2,955,50.5826
01.800,0.325,1138,60.2754
01.800,0.350,1147,60.7521
01.800,0.375,1156,61.2288
01.800,0.3,1110,58.7924
01.800,0.425,1180,62.5
01.800,0.45,1182,62.6059
01.800,0.475,1182,62.6059
01.800,0.4,1160,61.4407
01.800,0.5,1182,62.6059
01.850,0.025,934,49.4703
01.850,0.05,937,49.6292
01.850,0.075,937,49.6292
01.850,0.125,937,49.6292
01.850,0.150,937,49.6292
01.850,0.175,937,49.6292
01.850,0.1,937,49.6292
01.850,0.225,985,52.1716
01.850,0.25,1007,53.3369
01.850,0.275,994,52.6483
01.850,0.2,938,49.6822
01.850,0.325,1121,59.375
01.850,0.350,1122,59.428
01.850,0.375,1150,60.911
01.850,0.3,1112,58.8983
01.850,0.425,1164,61.6525
01.850,0.45,1173,62.1292
01.850,0.475,1173,62.1292
01.850,0.4,1158,61.3347
01.850,0.5,1184,62.7119
01.900,0.025,931,49.3114
01.900,0.05,932,49.3644
01.900,0.075,932,49.3644
01.900,0.125,932,49.3644
01.900,0.150,934,49.4703
01.900,0.175,934,49.4703
01.900,0.1,932,49.3644
01.900,0.225,989,52.3835
01.900,0.25,989,52.3835
01.900,0.275,992,52.5424
01.900,0.2,989,52.3835
01.900,0.325,1116,59.1102
01.900,0.350,1129,59.7987
01.900,0.375,1145,60.6462
01.900,0.3,1068,56.5678
01.900,0.425,1167,61.8114
01.900,0.45,1180,62.5
01.900,0.475,1178,62.3941
01.900,0.4,1161,61.4936
01.900,0.5,1189,62.9767
01.950,0.025,927,49.0996
01.950,0.05,928,49.1525
01.950,0.075,928,49.1525
01.950,0.125,928,49.1525
01.950,0.150,930,49.2585
01.950,0.175,930,49.2585
01.950,0.1,928,49.1525
01.950,0.225,983,52.0657
01.950,0.25,983,52.0657
01.950,0.275,986,52.2246
01.950,0.2,931,49.3114
01.950,0.325,1156,61.2288
01.950,0.350,1157,61.2818
01.950,0.375,1157,61.2818
01.950,0.3,1122,59.428
01.950,0.425,1172,62.0763
01.950,0.45,1184,62.7119
01.950,0.475,1184,62.7119
01.950,0.4,1160,61.4407
01.950,0.5,1184,62.7119
02.000,0.025,922,48.8347
02.000,0.05,923,48.8877
02.000,0.075,923,48.8877
02.000,0.125,923,48.8877
02.000,0.150,927,49.0996
02.000,0.175,927,49.0996
02.000,0.1,923,48.8877
02.000,0.225,977,51.7479
02.000,0.25,983,52.0657
02.000,0.275,985,52.1716
02.000,0.2,976,51.6949
02.000,0.325,1114,59.0042
02.000,0.350,1117,59.1631
02.000,0.375,1137,60.2225
02.000,0.3,1092,57.839
02.000,0.425,1155,61.1758
02.000,0.45,1162,61.5466
02.000,0.475,1174,62.1822
02.000,0.4,1137,60.2225
02.000,0.5,1174,62.1822
02.050,0.025,927,49.0996
02.050,0.05,928,49.1525
02.050,0.075,928,49.1525
02.050,0.125,928,49.1525
