noise_percentage,confidence_factor,size_of_the_tree
01.000,0.025,35
01.000,0.05,38
01.000,0.075,38
01.000,0.125,38
01.000,0.150,38
01.000,0.175,38
01.000,0.1,38
01.000,0.225,101
01.000,0.25,136
01.000,0.275,273
01.000,0.2,49
01.000,0.325,355
01.000,0.350,367
01.000,0.375,410
01.000,0.3,293
01.000,0.425,514
01.000,0.45,533
01.000,0.475,545
01.000,0.4,487
01.000,0.5,545
01.050,0.025,35
01.050,0.05,38
01.050,0.075,38
01.050,0.125,38
01.050,0.150,41
01.050,0.175,41
01.050,0.1,38
01.050,0.225,106
01.050,0.25,106
01.050,0.275,112
01.050,0.2,106
01.050,0.325,335
01.050,0.350,389
01.050,0.375,424
01.050,0.3,306
01.050,0.425,458
01.050,0.45,501
01.050,0.475,543
01.050,0.4,443
01.050,0.5,543
01.100,0.025,35
01.100,0.05,38
01.100,0.075,38
01.100,0.125,38
01.100,0.150,41
01.100,0.175,41
01.100,0.1,38
01.100,0.225,117
01.100,0.25,103
01.100,0.275,107
01.100,0.2,53
01.100,0.325,361
01.100,0.350,428
01.100,0.375,461
01.100,0.3,342
01.100,0.425,510
01.100,0.45,550
01.100,0.475,562
01.100,0.4,477
01.100,0.5,562
01.150,0.025,35
01.150,0.05,38
01.150,0.075,38
01.150,0.125,38
01.150,0.150,41
01.150,0.175,41
01.150,0.1,38
01.150,0.225,100
01.150,0.25,97
01.150,0.275,247
01.150,0.2,72
01.150,0.325,368
01.150,0.350,370
01.150,0.375,403
01.150,0.3,338
01.150,0.425,492
01.150,0.45,504
01.150,0.475,516
01.150,0.4,438
01.150,0.5,516
01.200,0.025,37
01.200,0.05,37
01.200,0.075,40
01.200,0.125,40
01.200,0.150,43
01.200,0.175,43
01.200,0.1,40
01.200,0.225,112
01.200,0.25,122
01.200,0.275,124
01.200,0.2,51
01.200,0.325,381
01.200,0.350,384
01.200,0.375,404
01.200,0.3,322
01.200,0.425,499
01.200,0.45,534
01.200,0.475,546
01.200,0.4,465
01.200,0.5,546
01.250,0.025,1
01.250,0.05,41
01.250,0.075,41
01.250,0.125,41
01.250,0.150,41
01.250,0.175,41
01.250,0.1,41
01.250,0.225,95
01.250,0.25,111
01.250,0.275,280
01.250,0.2,87
01.250,0.325,377
01.250,0.350,380
01.250,0.375,413
01.250,0.3,307
01.250,0.425,473
01.250,0.45,498
01.250,0.475,510
01.250,0.4,467
01.250,0.5,510
01.300,0.025,1
01.300,0.05,41
01.300,0.075,41
01.300,0.125,41
01.300,0.150,44
01.300,0.175,44
01.300,0.1,41
01.300,0.225,104
01.300,0.25,106
01.300,0.275,159
01.300,0.2,99
01.300,0.325,388
01.300,0.350,411
01.300,0.375,463
01.300,0.3,338
01.300,0.425,493
01.300,0.45,521
01.300,0.475,555
01.300,0.4,479
01.300,0.5,555
01.350,0.025,32
01.350,0.05,32
01.350,0.075,35
01.350,0.125,35
01.350,0.150,38
01.350,0.175,38
01.350,0.1,35
01.350,0.225,106
01.350,0.25,101
01.350,0.275,101
01.350,0.2,46
01.350,0.325,362
01.350,0.350,386
01.350,0.375,415
01.350,0.3,319
01.350,0.425,520
01.350,0.45,537
01.350,0.475,549
01.350,0.4,415
01.350,0.5,549
01.400,0.025,1
01.400,0.05,38
01.400,0.075,38
01.400,0.125,38
01.400,0.150,41
01.400,0.175,41
01.400,0.1,38
01.400,0.225,126
01.400,0.25,312
01.400,0.275,324
01.400,0.2,111
01.400,0.325,410
01.400,0.350,429
01.400,0.375,463
01.400,0.3,352
01.400,0.425,507
01.400,0.45,529
01.400,0.475,579
01.400,0.4,493
01.400,0.5,579
01.450,0.025,1
01.450,0.05,41
01.450,0.075,41
01.450,0.125,41
01.450,0.150,41
01.450,0.175,41
01.450,0.1,41
01.450,0.225,45
01.450,0.25,146
01.450,0.275,171
01.450,0.2,53
01.450,0.325,426
01.450,0.350,451
01.450,0.375,515
01.450,0.3,364
01.450,0.425,547
01.450,0.45,575
01.450,0.475,583
01.450,0.4,516
01.450,0.5,623
01.500,0.025,1
01.500,0.05,38
01.500,0.075,38
01.500,0.125,38
01.500,0.150,41
01.500,0.175,41
01.500,0.1,38
01.500,0.225,118
01.500,0.25,123
01.500,0.275,135
01.500,0.2,45
01.500,0.325,350
01.500,0.350,364
01.500,0.375,430
01.500,0.3,322
01.500,0.425,496
01.500,0.45,531
01.500,0.475,546
01.500,0.4,461
01.500,0.5,563
01.550,0.025,1
01.550,0.05,38
01.550,0.075,38
01.550,0.125,38
01.550,0.150,41
01.550,0.175,41
01.550,0.1,38
01.550,0.225,119
01.550,0.25,122
01.550,0.275,146
01.550,0.2,45
01.550,0.325,334
01.550,0.350,345
01.550,0.375,390
01.550,0.3,146
01.550,0.425,490
01.550,0.45,532
01.550,0.475,532
01.550,0.4,482
01.550,0.5,547
01.600,0.025,1
01.600,0.05,38
01.600,0.075,38
01.600,0.125,38
01.600,0.150,41
01.600,0.175,41
01.600,0.1,38
01.600,0.225,120
01.600,0.25,117
01.600,0.275,157
01.600,0.2,107
01.600,0.325,377
01.600,0.350,436
01.600,0.375,451
01.600,0.3,370
01.600,0.425,499
01.600,0.45,511
01.600,0.475,524
01.600,0.4,457
01.600,0.5,524
01.650,0.025,31
01.650,0.05,34
01.650,0.075,34
01.650,0.125,34
01.650,0.150,34
01.650,0.175,41
01.650,0.1,34
01.650,0.225,108
01.650,0.25,237
01.650,0.275,249
01.650,0.2,45
01.650,0.325,362
01.650,0.350,362
01.650,0.375,389
01.650,0.3,350
01.650,0.425,469
01.650,0.45,490
01.650,0.475,490
01.650,0.4,456
01.650,0.5,490
01.700,0.025,35
01.700,0.05,38
01.700,0.075,38
01.700,0.125,38
01.700,0.150,41
01.700,0.175,41
01.700,0.1,38
01.700,0.225,113
01.700,0.25,131
01.700,0.275,309
01.700,0.2,100
01.700,0.325,369
01.700,0.350,396
01.700,0.375,429
01.700,0.3,361
01.700,0.425,476
01.700,0.45,526
01.700,0.475,561
01.700,0.4,455
01.700,0.5,561
01.750,0.025,1
01.750,0.05,38
01.750,0.075,38
01.750,0.125,38
01.750,0.150,41
01.750,0.175,41
01.750,0.1,38
01.750,0.225,123
01.750,0.25,125
01.750,0.275,275
01.750,0.2,119
01.750,0.325,412
01.750,0.350,420
01.750,0.375,463
01.750,0.3,300
01.750,0.425,484
01.750,0.45,505
01.750,0.475,547
01.750,0.4,463
01.750,0.5,547
01.800,0.025,39
01.800,0.05,39
01.800,0.075,42
01.800,0.125,48
01.800,0.150,48
01.800,0.175,48
01.800,0.1,48
01.800,0.225,142
01.800,0.25,175
01.800,0.275,149
01.800,0.2,63
01.800,0.325,414
01.800,0.350,439
01.800,0.375,465
01.800,0.3,352
01.800,0.425,543
01.800,0.45,550
01.800,0.475,550
01.800,0.4,475
01.800,0.5,550
01.850,0.025,35
01.850,0.05,41
01.850,0.075,41
01.850,0.125,41
01.850,0.150,41
01.850,0.175,41
01.850,0.1,41
01.850,0.225,107
01.850,0.25,138
01.850,0.275,121
01.850,0.2,45
01.850,0.325,369
01.850,0.350,371
01.850,0.375,450
01.850,0.3,346
01.850,0.425,495
01.850,0.45,523
01.850,0.475,523
01.850,0.4,477
01.850,0.5,564
01.900,0.025,35
01.900,0.05,38
01.900,0.075,38
01.900,0.125,38
01.900,0.150,41
01.900,0.175,41
01.900,0.1,38
01.900,0.225,114
01.900,0.25,114
01.900,0.275,120
01.900,0.2,114
01.900,0.325,357
01.900,0.350,391
01.900,0.375,442
01.900,0.3,263
01.900,0.425,510
01.900,0.45,551
01.900,0.475,547
01.900,0.4,490
01.900,0.5,587
01.950,0.025,35
01.950,0.05,38
01.950,0.075,38
01.950,0.125,38
01.950,0.150,41
01.950,0.175,41
01.950,0.1,38
01.950,0.225,109
01.950,0.25,109
01.950,0.275,115
01.950,0.2,45
01.950,0.325,465
01.950,0.350,467
01.950,0.375,467
01.950,0.3,378
01.950,0.425,515
01.950,0.45,546
01.950,0.475,546
01.950,0.4,475
01.950,0.5,546
02.000,0.025,35
02.000,0.05,38
02.000,0.075,38
02.000,0.125,38
02.000,0.150,43
02.000,0.175,43
02.000,0.1,38
02.000,0.225,112
02.000,0.25,126
02.000,0.275,130
02.000,0.2,110
02.000,0.325,378
02.000,0.350,384
02.000,0.375,433
02.000,0.3,333
02.000,0.425,494
02.000,0.45,521
02.000,0.475,567
02.000,0.4,433
02.000,0.5,567
02.050,0.025,35
02.050,0.05,38
02.050,0.075,38
02.050,0.125,38
02.050,0.150,41
02.050,0.175,41
02.050,0.1,38
02.050,0.225,111
02.050,0.25,110
02.050,0.275,159
02.050,0.2,107
02.050,0.325,367
02.050,0.350,394
02.050,0.375,452
02.050,0.3,281
02.050,0.425,514
02.050,0.45,532
02.050,0.475,544
02.050,0.4,458
02.050,0.5,544
02.100,0.025,1
02.100,0.05,38
02.100,0.075,38
02.100,0.125,38
02.100,0.150,41
02.100,0.175,41
02.100,0.1,38
02.100,0.225,123
02.100,0.25,117
02.100,0.275,330
02.100,0.2,45
02.100,0.325,391
02.100,0.350,425
02.100,0.375,452
02.100,0.3,360
02.100,0.425,489
02.100,0.45,508
02.100,0.475,527
02.100,0.4,482
02.100,0.5,542
02.150,0.025,1
02.150,0.05,38
02.150,0.075,38
02.150,0.125,38
02.150,0.150,41
02.150,0.175,41
02.150,0.1,38
02.150,0.225,136
02.150,0.25,136
02.150,0.275,292
02.150,0.2,45
02.150,0.325,383
02.150,0.350,400
02.150,0.375,463
02.150,0.3,376
02.150,0.425,493
02.150,0.45,522
02.150,0.475,530
02.150,0.4,469
02.150,0.5,530
02.200,0.025,35
02.200,0.05,38
02.200,0.075,38
02.200,0.125,38
02.200,0.150,41
02.200,0.175,41
02.200,0.1,38
02.200,0.225,128
02.200,0.25,139
02.200,0.275,326
02.200,0.2,124
02.200,0.325,403
02.200,0.350,408
02.200,0.375,418
02.200,0.3,368
02.200,0.425,516
02.200,0.45,533
02.200,0.475,540
02.200,0.4,487
02.200,0.5,555
02.250,0.025,1
02.250,0.05,34
02.250,0.075,34
02.250,0.125,52
02.250,0.150,52
02.250,0.175,52
02.250,0.1,44
02.250,0.225,86
02.250,0.25,124
02.250,0.275,123
02.250,0.2,56
02.250,0.325,328
02.250,0.350,344
02.250,0.375,434
02.250,0.3,325
02.250,0.425,521
02.250,0.45,554
02.250,0.475,595
02.250,0.4,479
02.250,0.5,595
02.300,0.025,1
02.300,0.05,38
02.300,0.075,38
02.300,0.125,38
02.300,0.150,41
02.300,0.175,41
02.300,0.1,38
02.300,0.225,110
02.300,0.25,122
02.300,0.275,280
02.300,0.2,81
02.300,0.325,389
02.300,0.350,393
02.300,0.375,412
02.300,0.3,380
02.300,0.425,496
02.300,0.45,512
02.300,0.475,524
02.300,0.4,459
02.300,0.5,533
02.350,0.025,1
02.350,0.05,38
02.350,0.075,38
02.350,0.125,38
02.350,0.150,41
02.350,0.175,41
02.350,0.1,38
02.350,0.225,45
02.350,0.25,83
02.350,0.275,125
02.350,0.2,45
02.350,0.325,387
02.350,0.350,410
02.350,0.375,470
02.350,0.3,382
02.350,0.425,524
02.350,0.45,547
02.350,0.475,575
02.350,0.4,478
02.350,0.5,591
02.400,0.025,36
02.400,0.05,36
02.400,0.075,43
02.400,0.125,43
02.400,0.150,46
02.400,0.175,76
02.400,0.1,43
02.400,0.225,139
02.400,0.25,139
02.400,0.275,143
02.400,0.2,139
02.400,0.325,379
02.400,0.350,400
02.400,0.375,422
02.400,0.3,320
02.400,0.425,531
02.400,0.45,551
02.400,0.475,563
02.400,0.4,474
02.400,0.5,578
02.450,0.025,38
02.450,0.05,41
02.450,0.075,41
02.450,0.125,41
02.450,0.150,41
02.450,0.175,50
02.450,0.1,41
02.450,0.225,54
02.450,0.25,127
02.450,0.275,353
02.450,0.2,54
02.450,0.325,404
02.450,0.350,456
02.450,0.375,524
02.450,0.3,379
02.450,0.425,537
02.450,0.45,556
02.450,0.475,556
02.450,0.4,532
02.450,0.5,556
02.500,0.025,1
02.500,0.05,40
02.500,0.075,40
02.500,0.125,40
02.500,0.150,43
02.500,0.175,43
02.500,0.1,40
02.500,0.225,47
02.500,0.25,143
02.500,0.275,147
02.500,0.2,69
02.500,0.325,352
02.500,0.350,368
02.500,0.375,444
02.500,0.3,330
02.500,0.425,468
02.500,0.45,518
02.500,0.475,563
02.500,0.4,455
02.500,0.5,580
02.550,0.025,1
02.550,0.05,38
02.550,0.075,38
02.550,0.125,38
02.550,0.150,41
02.550,0.175,41
02.550,0.1,38
02.550,0.225,170
02.550,0.25,181
02.550,0.275,307
02.550,0.2,45
02.550,0.325,395
02.550,0.350,411
02.550,0.375,414
02.550,0.3,340
02.550,0.425,483
02.550,0.45,536
02.550,0.475,536
02.550,0.4,438
02.550,0.5,536
02.600,0.025,1
02.600,0.05,41
02.600,0.075,41
02.600,0.125,41
02.600,0.150,41
02.600,0.175,41
02.600,0.1,41
02.600,0.225,189
02.600,0.25,219
02.600,0.275,352
02.600,0.2,45
02.600,0.325,375
02.600,0.350,420
02.600,0.375,432
02.600,0.3,359
02.600,0.425,503
02.600,0.45,528
02.600,0.475,512
02.600,0.4,495
02.600,0.5,552
02.650,0.025,1
02.650,0.05,43
02.650,0.075,43
02.650,0.125,43
02.650,0.150,43
02.650,0.175,43
02.650,0.1,43
02.650,0.225,141
02.650,0.25,183
02.650,0.275,186
02.650,0.2,65
02.650,0.325,301
02.650,0.350,386
02.650,0.375,414
02.650,0.3,303
02.650,0.425,478
02.650,0.45,529
02.650,0.475,553
02.650,0.4,428
02.650,0.5,553
02.700,0.025,33
02.700,0.05,36
02.700,0.075,36
02.700,0.125,36
02.700,0.150,36
02.700,0.175,60
02.700,0.1,36
02.700,0.225,119
02.700,0.25,158
02.700,0.275,366
02.700,0.2,64
02.700,0.325,400
02.700,0.350,400
02.700,0.375,440
02.700,0.3,380
02.700,0.425,501
02.700,0.45,508
02.700,0.475,543
02.700,0.4,440
02.700,0.5,543
02.750,0.025,1
02.750,0.05,35
02.750,0.075,38
02.750,0.125,38
02.750,0.150,41
02.750,0.175,41
02.750,0.1,38
02.750,0.225,133
02.750,0.25,133
02.750,0.275,139
02.750,0.2,52
02.750,0.325,385
02.750,0.350,387
02.750,0.375,427
02.750,0.3,379
02.750,0.425,455
02.750,0.45,541
02.750,0.475,531
02.750,0.4,441
02.750,0.5,571
02.800,0.025,1
02.800,0.05,34
02.800,0.075,34
02.800,0.125,34
02.800,0.150,34
02.800,0.175,50
02.800,0.1,34
02.800,0.225,120
02.800,0.25,119
02.800,0.275,273
02.800,0.2,54
02.800,0.325,376
02.800,0.350,407
02.800,0.375,417
02.800,0.3,363
02.800,0.425,502
02.800,0.45,550
02.800,0.475,550
02.800,0.4,425
02.800,0.5,563
02.850,0.025,1
02.850,0.05,38
02.850,0.075,38
