confidence_factor,number_of_bins,correctly_classified,accuracy
0.025,01,940,49.7881
0.025,02,940,49.7881
0.025,03,940,49.7881
0.025,04,940,49.7881
0.025,05,941,49.8411
0.025,06,940,49.7881
0.025,07,940,49.7881
0.025,08,940,49.7881
0.025,09,888,47.0339
0.025,10,940,49.7881
0.025,11,888,47.0339
0.025,12,888,47.0339
0.025,13,888,47.0339
0.025,14,888,47.0339
0.025,15,888,47.0339
0.025,16,888,47.0339
0.025,17,888,47.0339
0.025,18,888,47.0339
0.025,19,888,47.0339
0.025,20,888,47.0339
0.05,01,941,49.8411
0.05,02,941,49.8411
0.05,03,941,49.8411
0.05,04,941,49.8411
0.05,05,942,49.8941
0.05,06,941,49.8411
0.05,07,941,49.8411
0.05,08,941,49.8411
0.05,09,938,49.6822
0.05,10,941,49.8411
0.05,11,938,49.6822
0.05,12,938,49.6822
0.05,13,938,49.6822
0.05,14,938,49.6822
0.05,15,938,49.6822
0.05,16,933,49.4174
0.05,17,933,49.4174
0.05,18,938,49.6822
0.05,19,938,49.6822
0.05,20,938,49.6822
0.075,01,941,49.8411
0.075,02,941,49.8411
0.075,03,941,49.8411
0.075,04,941,49.8411
0.075,05,942,49.8941
0.075,06,941,49.8411
0.075,07,941,49.8411
0.075,08,941,49.8411
0.075,09,939,49.7352
0.075,10,941,49.8411
0.075,11,939,49.7352
0.075,12,939,49.7352
0.075,13,939,49.7352
0.075,14,939,49.7352
0.075,15,939,49.7352
0.075,16,934,49.4703
0.075,17,934,49.4703
0.075,18,939,49.7352
0.075,19,939,49.7352
0.075,20,939,49.7352
0.1,01,941,49.8411
0.1,02,941,49.8411
0.1,03,941,49.8411
0.1,04,941,49.8411
0.1,05,942,49.8941
0.1,06,941,49.8411
0.1,07,941,49.8411
0.1,08,941,49.8411
0.1,09,939,49.7352
0.1,10,941,49.8411
0.1,11,939,49.7352
0.1,12,939,49.7352
0.1,13,939,49.7352
0.1,14,939,49.7352
0.1,15,939,49.7352
0.1,16,934,49.4703
0.1,17,934,49.4703
0.1,18,939,49.7352
0.1,19,939,49.7352
0.1,20,939,49.7352
0.125,01,941,49.8411
0.125,02,941,49.8411
0.125,03,941,49.8411
0.125,04,941,49.8411
0.125,05,942,49.8941
0.125,06,941,49.8411
0.125,07,941,49.8411
0.125,08,941,49.8411
0.125,09,939,49.7352
0.125,10,941,49.8411
0.125,11,939,49.7352
0.125,12,939,49.7352
0.125,13,939,49.7352
0.125,14,939,49.7352
0.125,15,939,49.7352
0.125,16,934,49.4703
0.125,17,934,49.4703
0.125,18,939,49.7352
0.125,19,939,49.7352
0.125,20,939,49.7352
0.150,01,943,49.947
0.150,02,943,49.947
0.150,03,943,49.947
0.150,04,943,49.947
0.150,05,944,50
0.150,06,943,49.947
0.150,07,943,49.947
0.150,08,943,49.947
0.150,09,941,49.8411
0.150,10,943,49.947
0.150,11,941,49.8411
0.150,12,941,49.8411
0.150,13,941,49.8411
0.150,14,941,49.8411
0.150,15,941,49.8411
0.150,16,934,49.4703
0.150,17,934,49.4703
0.150,18,941,49.8411
0.150,19,941,49.8411
0.150,20,941,49.8411
0.175,01,943,49.947
0.175,02,943,49.947
0.175,03,943,49.947
0.175,04,943,49.947
0.175,05,944,50
0.175,06,943,49.947
0.175,07,943,49.947
0.175,08,943,49.947
0.175,09,941,49.8411
0.175,10,943,49.947
0.175,11,941,49.8411
0.175,12,941,49.8411
0.175,13,941,49.8411
0.175,14,941,49.8411
0.175,15,941,49.8411
0.175,16,934,49.4703
0.175,17,934,49.4703
0.175,18,941,49.8411
0.175,19,941,49.8411
0.175,20,941,49.8411
0.2,01,944,50
0.2,02,944,50
0.2,03,944,50
0.2,04,954,50.5297
0.2,05,945,50.053
0.2,06,944,50
0.2,07,944,50
0.2,08,944,50
0.2,09,941,49.8411
0.2,10,944,50
0.2,11,941,49.8411
0.2,12,941,49.8411
0.2,13,941,49.8411
0.2,14,941,49.8411
0.2,15,941,49.8411
0.2,16,934,49.4703
0.2,17,934,49.4703
0.2,18,941,49.8411
0.2,19,941,49.8411
0.2,20,941,49.8411
0.225,01,954,50.5297
0.225,02,944,50
0.225,03,945,50.053
0.225,04,954,50.5297
0.225,05,945,50.053
0.225,06,944,50
0.225,07,944,50
0.225,08,944,50
0.225,09,942,49.8941
0.225,10,944,50
0.225,11,941,49.8411
0.225,12,942,49.8941
0.225,13,942,49.8941
0.225,14,942,49.8941
0.225,15,942,49.8941
0.225,16,935,49.5233
0.225,17,935,49.5233
0.225,18,942,49.8941
0.225,19,942,49.8941
0.225,20,942,49.8941
0.25,01,956,50.6356
0.25,02,944,50
0.25,03,945,50.053
0.25,04,954,50.5297
0.25,05,945,50.053
0.25,06,944,50
0.25,07,944,50
0.25,08,944,50
0.25,09,942,49.8941
0.25,10,944,50
0.25,11,941,49.8411
0.25,12,942,49.8941
0.25,13,942,49.8941
0.25,14,942,49.8941
0.25,15,942,49.8941
0.25,16,935,49.5233
0.25,17,935,49.5233
0.25,18,942,49.8941
0.25,19,942,49.8941
0.25,20,942,49.8941
0.275,01,956,50.6356
0.275,02,951,50.3708
0.275,03,945,50.053
0.275,04,954,50.5297
0.275,05,945,50.053
0.275,06,944,50
0.275,07,944,50
0.275,08,944,50
0.275,09,942,49.8941
0.275,10,944,50
0.275,11,941,49.8411
0.275,12,942,49.8941
0.275,13,942,49.8941
0.275,14,942,49.8941
0.275,15,942,49.8941
0.275,16,943,49.947
0.275,17,943,49.947
0.275,18,942,49.8941
0.275,19,942,49.8941
0.275,20,942,49.8941
0.3,01,956,50.6356
0.3,02,953,50.4767
0.3,03,945,50.053
0.3,04,954,50.5297
0.3,05,945,50.053
0.3,06,944,50
0.3,07,944,50
0.3,08,944,50
0.3,09,942,49.8941
0.3,10,944,50
0.3,11,941,49.8411
0.3,12,942,49.8941
0.3,13,942,49.8941
0.3,14,942,49.8941
0.3,15,942,49.8941
0.3,16,943,49.947
