confidence_factor,number_of_bins,size_of_the_tree
0.025,01,36
0.025,02,36
0.025,03,36
0.025,04,36
0.025,05,36
0.025,06,36
0.025,07,36
0.025,08,36
0.025,09,36
0.025,10,36
0.025,11,36
0.025,12,36
0.025,13,36
0.025,14,36
0.025,15,36
0.025,16,1
0.025,17,1
0.025,18,36
0.025,19,1
0.025,20,1
0.05,01,39
0.05,02,39
0.05,03,39
0.05,04,39
0.05,05,39
0.05,06,39
0.05,07,39
0.05,08,39
0.05,09,39
0.05,10,39
0.05,11,39
0.05,12,39
0.05,13,39
0.05,14,39
0.05,15,39
0.05,16,33
0.05,17,33
0.05,18,39
0.05,19,33
0.05,20,33
0.075,01,39
0.075,02,39
0.075,03,39
0.075,04,39
0.075,05,39
0.075,06,39
0.075,07,39
0.075,08,39
0.075,09,39
0.075,10,39
0.075,11,39
0.075,12,39
0.075,13,39
0.075,14,39
0.075,15,39
0.075,16,36
0.075,17,36
0.075,18,39
0.075,19,36
0.075,20,36
0.1,01,39
0.1,02,39
0.1,03,39
0.1,04,39
0.1,05,39
0.1,06,39
0.1,07,39
0.1,08,39
0.1,09,39
0.1,10,39
0.1,11,39
0.1,12,39
0.1,13,39
0.1,14,39
0.1,15,39
0.1,16,36
0.1,17,36
0.1,18,39
0.1,19,36
0.1,20,36
0.125,01,39
0.125,02,39
0.125,03,39
0.125,04,39
0.125,05,39
0.125,06,39
0.125,07,39
0.125,08,39
0.125,09,39
0.125,10,39
0.125,11,39
0.125,12,39
0.125,13,39
0.125,14,39
0.125,15,39
0.125,16,36
0.125,17,36
0.125,18,39
0.125,19,36
0.125,20,36
0.150,01,42
0.150,02,42
0.150,03,42
0.150,04,42
0.150,05,42
0.150,06,42
0.150,07,42
0.150,08,42
0.150,09,42
0.150,10,42
0.150,11,42
0.150,12,42
0.150,13,42
0.150,14,42
0.150,15,42
0.150,16,39
0.150,17,39
0.150,18,42
0.150,19,39
0.150,20,39
0.175,01,42
0.175,02,42
0.175,03,42
0.175,04,42
0.175,05,42
0.175,06,42
0.175,07,42
0.175,08,42
0.175,09,42
0.175,10,42
0.175,11,42
0.175,12,42
0.175,13,42
0.175,14,42
0.175,15,42
0.175,16,39
0.175,17,39
0.175,18,42
0.175,19,39
0.175,20,39
0.2,01,46
0.2,02,46
0.2,03,46
0.2,04,46
0.2,05,46
0.2,06,45
0.2,07,46
0.2,08,46
0.2,09,46
0.2,10,46
0.2,11,46
0.2,12,46
0.2,13,46
0.2,14,46
0.2,15,46
0.2,16,39
0.2,17,39
0.2,18,46
0.2,19,39
0.2,20,39
0.225,01,58
0.225,02,58
0.225,03,46
0.225,04,46
0.225,05,46
0.225,06,45
0.225,07,46
0.225,08,46
0.225,09,46
0.225,10,46
0.225,11,46
0.225,12,46
0.225,13,46
0.225,14,46
0.225,15,46
0.225,16,43
0.225,17,43
0.225,18,46
0.225,19,43
0.225,20,43
0.25,01,64
0.25,02,64
0.25,03,46
0.25,04,46
0.25,05,46
0.25,06,45
0.25,07,46
0.25,08,46
0.25,09,46
0.25,10,46
0.25,11,46
0.25,12,46
0.25,13,46
0.25,14,46
0.25,15,46
0.25,16,43
0.25,17,43
0.25,18,46
0.25,19,43
0.25,20,43
0.275,01,64
0.275,02,64
0.275,03,46
0.275,04,46
0.275,05,46
0.275,06,45
0.275,07,46
0.275,08,46
0.275,09,46
0.275,10,46
0.275,11,46
0.275,12,46
0.275,13,46
0.275,14,46
0.275,15,46
0.275,16,43
0.275,17,43
0.275,18,46
0.275,19,43
0.275,20,43
0.3,01,64
0.3,02,66
0.3,03,46
0.3,04,46
0.3,05,46
0.3,06,45
0.3,07,46
0.3,08,46
0.3,09,46
0.3,10,46
0.3,11,46
0.3,12,46
0.3,13,46
0.3,14,46
0.3,15,46
0.3,16,43
0.3,17,43
0.3,18,46
0.3,19,43
0.3,20,43
0.325,01,64
0.325,02,46
0.325,03,46
0.325,04,46
0.325,05,46
0.325,06,45
0.325,07,46
0.325,08,186
0.325,09,46
0.325,10,46
0.325,11,180
0.325,12,222
0.325,13,46
0.325,14,46
0.325,15,46
0.325,16,43
0.325,17,43
0.325,18,46
0.325,19,43
0.325,20,43
0.350,01,64
0.350,02,103
0.350,03,46
0.350,04,138
0.350,05,104
0.350,06,97
0.350,07,130
0.350,08,211
0.350,09,195
0.350,10,171
0.350,11,224
0.350,12,265
0.350,13,217
0.350,14,274
0.350,15,225
0.350,16,43
0.350,17,243
0.350,18,205
0.350,19,43
0.350,20,274
0.375,01,64
0.375,02,103
0.375,03,117
0.375,04,144
0.375,05,132
0.375,06,160
0.375,07,172
0.375,08,233
0.375,09,201
0.375,10,171
0.375,11,224
0.375,12,303
0.375,13,236
0.375,14,280
0.375,15,237
0.375,16,236
0.375,17,255
0.375,18,205
0.375,19,318
0.375,20,290
0.4,01,126
0.4,02,158
0.4,03,197
0.4,04,163
0.4,05,132
0.4,06,163
0.4,07,188
0.4,08,267
0.4,09,201
0.4,10,191
0.4,11,242
0.4,12,310
0.4,13,275
0.4,14,329
0.4,15,299
0.4,16,253
0.4,17,265
0.4,18,236
0.4,19,381
0.4,20,290
0.425,01,131
0.425,02,164
0.425,03,197
0.425,04,182
0.425,05,154
0.425,06,234
0.425,07,204
0.425,08,283
0.425,09,211
0.425,10,205
0.425,11,271
0.425,12,323
0.425,13,289
0.425,14,329
0.425,15,322
0.425,16,259
0.425,17,314
0.425,18,245
0.425,19,391
0.425,20,306
0.45,01,165
0.45,02,164
0.45,03,197
0.45,04,182
0.45,05,179
0.45,06,273
0.45,07,233
0.45,08,283
0.45,09,217
0.45,10,246
0.45,11,287
0.45,12,362
0.45,13,378
0.45,14,371
0.45,15,370
0.45,16,342
0.45,17,342
0.45,18,306
0.45,19,457
0.45,20,351
0.475,01,186
0.475,02,207
0.475,03,227
0.475,04,200
0.475,05,236
0.475,06,330
0.475,07,269
0.475,08,283
0.475,09,255
0.475,10,286
0.475,11,309
0.475,12,375
0.475,13,400
0.475,14,375
0.475,15,387
0.475,16,370
0.475,17,419
0.475,18,352
0.475,19,457
0.475,20,351
0.5,01,186
0.5,02,207
0.5,03,252
0.5,04,223
0.5,05,236
0.5,06,330
0.5,07,269
0.5,08,283
0.5,09,268
0.5,10,286
0.5,11,309
0.5,12,375
0.5,13,400
0.5,14,384
0.5,15,418
0.5,16,386
0.5,17,435
0.5,18,406
0.5,19,457
0.5,20,390
