confidence_factor,number_of_bins,size_of_the_tree
0.025,01,36
0.025,02,36
0.025,03,36
0.025,04,36
0.025,05,38
0.025,06,36
0.025,07,36
0.025,08,36
0.025,09,1
0.025,10,36
0.025,11,1
0.025,12,1
0.025,13,1
0.025,14,1
0.025,15,1
0.025,16,1
0.025,17,1
0.025,18,1
0.025,19,1
0.025,20,1
0.05,01,39
0.05,02,39
0.05,03,39
0.05,04,39
0.05,05,41
0.05,06,39
0.05,07,39
0.05,08,39
0.05,09,33
0.05,10,39
0.05,11,33
0.05,12,33
0.05,13,33
0.05,14,33
0.05,15,33
0.05,16,26
0.05,17,26
0.05,18,33
0.05,19,33
0.05,20,33
0.075,01,39
0.075,02,39
0.075,03,39
0.075,04,39
0.075,05,41
0.075,06,39
0.075,07,39
0.075,08,39
0.075,09,36
0.075,10,39
0.075,11,36
0.075,12,36
0.075,13,36
0.075,14,36
0.075,15,36
0.075,16,29
0.075,17,29
0.075,18,36
0.075,19,36
0.075,20,36
0.1,01,39
0.1,02,39
0.1,03,39
0.1,04,39
0.1,05,41
0.1,06,39
0.1,07,39
0.1,08,39
0.1,09,36
0.1,10,39
0.1,11,36
0.1,12,36
0.1,13,36
0.1,14,36
0.1,15,36
0.1,16,29
0.1,17,29
0.1,18,36
0.1,19,36
0.1,20,36
0.125,01,39
0.125,02,39
0.125,03,39
0.125,04,39
0.125,05,41
0.125,06,39
0.125,07,39
0.125,08,39
0.125,09,36
0.125,10,39
0.125,11,36
0.125,12,36
0.125,13,36
0.125,14,36
0.125,15,36
0.125,16,29
0.125,17,29
0.125,18,36
0.125,19,36
0.125,20,36
0.150,01,42
0.150,02,42
0.150,03,42
0.150,04,42
0.150,05,44
0.150,06,42
0.150,07,42
0.150,08,42
0.150,09,39
0.150,10,42
0.150,11,39
0.150,12,39
0.150,13,39
0.150,14,39
0.150,15,39
0.150,16,29
0.150,17,29
0.150,18,39
0.150,19,39
0.150,20,39
0.175.01,42
0.175,02,42
0.175,03,42
0.175,04,42
0.175,05,44
0.175,06,42
0.175,07,42
0.175,08,42
0.175,09,39
0.175,10,42
0.175,11,39
0.175,12,39
0.175,13,39
0.175,14,39
0.175,15,39
0.175,16,29
0.175,17,29
0.175,18,39
0.175,19,39
0.175,20,39
0.2,01,46
0.2,02,46
0.2,03,42
0.2,04,55
0.2,05,48
0.2,06,46
0.2,07,46
0.2,08,46
0.2,09,39
0.2,10,46
0.2,11,39
0.2,12,39
0.2,13,39
0.2,14,39
0.2,15,39
0.2,16,29
0.2,17,29
0.2,18,39
0.2,19,39
0.2,20,39
0.225,01,58
0.225,02,46
0.225,03,45
0.225,04,55
0.225,05,48
0.225,06,46
0.225,07,46
0.225,08,46
0.225,09,43
0.225,10,46
0.225,11,39
0.225,12,43
0.225,13,43
0.225,14,43
0.225,15,43
0.225,16,33
0.225,17,33
0.225,18,43
0.225,19,43
0.225,20,43
0.25,01,64
0.25,02,46
0.25,03,45
0.25,04,55
0.25,05,48
0.25,06,46
0.25,07,46
0.25,08,46
0.25,09,43
0.25,10,46
0.25,11,39
0.25,12,43
0.25,13,43
0.25,14,43
0.25,15,43
0.25,16,33
0.25,17,33
0.25,18,43
0.25,19,43
0.25,20,43
0.275,01,64
0.275,02,52
0.275,03,45
0.275,04,55
0.275,05,48
0.275,06,46
0.275,07,46
0.275,08,46
0.275,09,43
0.275,10,46
0.275,11,39
0.275,12,43
0.275,13,43
0.275,14,43
0.275,15,43
0.275,16,49
0.275,17,50
0.275,18,43
0.275,19,43
0.275,20,43
0.3,01,64
0.3,02,56
0.3,03,45
0.3,04,55
0.3,05,48
0.3,06,46
0.3,07,46
0.3,08,46
0.3,09,43
0.3,10,46
0.3,11,39
0.3,12,43
0.3,13,43
0.3,14,43
0.3,15,43
0.3,16,49
0.3,17,50
0.3,18,43
0.3,19,43
0.3,20,43
0.325,01,64
0.325,02,112
0.325,03,45
0.325,04,55
0.325,05,122
0.325,06,100
0.325,07,46
0.325,08,46
0.325,09,171
0.325,10,226
0.325,11,179
0.325,12,174
0.325,13,43
0.325,14,43
0.325,15,43
0.325,16,49
0.325,17,50
0.325,18,43
0.325,19,43
0.325,20,43
0.350,01,64
0.350,02,116
0.350,03,70
0.350,04,154
0.350,05,141
0.350,06,144
0.350,07,218
0.350,08,193
0.350,09,212
0.350,10,226
0.350,11,235
0.350,12,196
0.350,13,199
0.350,14,205
0.350,15,295
0.350,16,272
0.350,17,286
0.350,18,305
0.350,19,331
0.350,20,298
0.375,01,64
0.375,02,116
0.375,03,102
0.375,04,154
0.375,05,154
0.375,06,144
0.375,07,293
0.375,08,202
0.375,09,228
0.375,10,239
0.375,11,241
0.375,12,196
0.375,13,235
0.375,14,259
0.375,15,298
0.375,16,300
0.375,17,342
0.375,18,346
0.375,19,346
0.375,20,298
0.4,01,126
0.4,02,122
0.4,03,154
0.4,04,167
0.4,05,154
0.4,06,151
0.4,07,307
0.4,08,223
0.4,09,235
0.4,10,289
0.4,11,285
0.4,12,193
0.4,13,238
0.4,14,287
0.4,15,321
0.4,16,326
0.4,17,378
0.4,18,359
0.4,19,359
0.4,20,298
0.425,01,131
0.425,02,122
0.425,03,182
0.425,04,228
0.425,05,212
0.425,06,190
0.425,07,314
0.425,08,272
0.425,09,250
0.425,10,308
0.425,11,291
0.425,12,244
0.425,13,252
0.425,14,302
0.425,15,331
0.425,16,345
0.425,17,371
0.425,18,333
0.425,19,371
0.425,20,332
0.45,01,165
0.45,02,153
0.45,03,198
0.45,04,247
0.45,05,262
0.45,06,258
0.45,07,331
0.45,08,310
0.45,09,310
0.45,10,347
0.45,11,356
0.45,12,318
0.45,13,375
0.45,14,401
0.45,15,346
0.45,16,372
0.45,17,453
0.45,18,415
0.45,19,398
0.45,20,353
0.475,01,186
0.475,02,197
0.475,03,211
0.475,04,247
0.475,05,262
0.475,06,299
0.475,07,356
0.475,08,308
0.475,09,335
0.475,10,379
0.475,11,356
0.475,12,369
0.475,13,400
0.475,14,427
0.475,15,371
0.475,16,391
0.475,17,472
0.475,18,450
0.475,19,433
0.475,20,405
0.5,01,186
0.5,02,197
0.5,03,211
0.5,04,247
0.5,05,275
0.5,06,299
0.5,07,356
0.5,08,355
0.5,09,376
0.5,10,420
0.5,11,366
0.5,12,369
0.5,13,400
0.5,14,440
0.5,15,400
0.5,16,391
0.5,17,472
0.5,18,472
0.5,19,455
0.5,20,427
