confidence_factor,number_of_bins,size_of_the_tree
0.025,01,36
0.025,02,36
0.025,03,36
0.025,04,36
0.025,05,36
0.025,06,36
0.025,07,36
0.025,08,36
0.025,09,36
0.025,10,36
0.025,11,36
0.025,12,36
0.025,13,36
0.025,14,36
0.025,15,36
0.025,16,36
0.025,17,36
0.025,18,36
0.025,19,36
0.025,20,36
0.05,01,39
0.05,02,39
0.05,03,39
0.05,04,39
0.05,05,39
0.05,06,39
0.05,07,39
0.05,08,39
0.05,09,39
0.05,10,39
0.05,11,39
0.05,12,39
0.05,13,39
0.05,14,39
0.05,15,39
0.05,16,39
0.05,17,39
0.05,18,39
0.05,19,39
0.05,20,39
0.075,01,39
0.075,02,39
0.075,03,39
0.075,04,39
0.075,05,39
0.075,06,39
0.075,07,39
0.075,08,39
0.075,09,39
0.075,10,39
0.075,11,39
0.075,12,39
0.075,13,39
0.075,14,39
0.075,15,39
0.075,16,39
0.075,17,39
0.075,18,39
0.075,19,39
0.075,20,39
0.1,01,39
0.1,02,39
0.1,03,39
0.1,04,39
0.1,05,39
0.1,06,39
0.1,07,39
0.1,08,39
0.1,09,39
0.1,10,39
0.1,11,39
0.1,12,39
0.1,13,39
0.1,14,39
0.1,15,39
0.1,16,39
0.1,17,39
0.1,18,39
0.1,19,39
0.1,20,39
0.125,01,39
0.125,02,39
0.125,03,39
0.125,04,39
0.125,05,39
0.125,06,39
0.125,07,39
0.125,08,39
0.125,09,39
0.125,10,39
0.125,11,39
0.125,12,39
0.125,13,39
0.125,14,39
0.125,15,39
0.125,16,39
0.125,17,39
0.125,18,39
0.125,19,39
0.125,20,39
0.150,01,42
0.150,02,42
0.150,03,42
0.150,04,42
0.150,05,42
0.150,06,42
0.150,07,42
0.150,08,42
0.150,09,42
0.150,10,42
0.150,11,42
0.150,12,42
0.150,13,42
0.150,14,42
0.150,15,42
0.150,16,42
0.150,17,42
0.150,18,42
0.150,19,42
0.150,20,42
0.175,01,42
0.175,02,42
0.175,03,42
0.175,04,42
0.175,05,42
0.175,06,42
0.175,07,42
0.175,08,42
0.175,09,42
0.175,10,42
0.175,11,42
0.175,12,42
0.175,13,42
0.175,14,42
0.175,15,42
0.175,16,42
0.175,17,42
0.175,18,42
0.175,19,42
0.175,20,42
0.2,01,46
0.2,02,46
0.2,03,46
0.2,04,46
0.2,05,46
0.2,06,46
0.2,07,46
0.2,08,46
0.2,09,46
0.2,10,46
0.2,11,46
0.2,12,46
0.2,13,46
0.2,14,46
0.2,15,46
0.2,16,46
0.2,17,46
0.2,18,46
0.2,19,46
0.2,20,46
0.225,01,46
0.225,02,46
0.225,03,46
0.225,04,46
0.225,05,46
0.225,06,46
0.225,07,46
0.225,08,46
0.225,09,46
0.225,10,46
0.225,11,46
0.225,12,46
0.225,13,46
0.225,14,46
0.225,15,46
0.225,16,46
0.225,17,46
0.225,18,46
0.225,19,46
0.225,20,46
0.25,01,70
0.25,02,70
0.25,03,70
0.25,04,70
0.25,05,70
0.25,06,70
0.25,07,70
0.25,08,70
0.25,09,70
0.25,10,70
0.25,11,70
0.25,12,70
0.25,13,70
0.25,14,70
0.25,15,70
0.25,16,70
0.25,17,70
0.25,18,70
0.25,19,70
0.25,20,70
0.275,01,70
0.275,02,70
0.275,03,70
0.275,04,70
0.275,05,70
0.275,06,70
0.275,07,70
0.275,08,70
0.275,09,70
0.275,10,70
0.275,11,70
0.275,12,70
0.275,13,70
0.275,14,70
0.275,15,70
0.275,16,70
0.275,17,70
0.275,18,70
0.275,19,70
0.275,20,70
0.3,01,76
0.3,02,76
0.3,03,76
0.3,04,76
0.3,05,76
0.3,06,76
0.3,07,76
0.3,08,76
0.3,09,76
0.3,10,76
0.3,11,76
0.3,12,76
0.3,13,76
0.3,14,76
0.3,15,76
0.3,16,76
0.3,17,76
0.3,18,76
0.3,19,76
0.3,20,76
0.325,01,101
0.325,02,101
0.325,03,101
0.325,04,101
0.325,05,101
0.325,06,101
0.325,07,101
0.325,08,101
0.325,09,101
0.325,10,101
0.325,11,101
0.325,12,101
0.325,13,101
0.325,14,101
0.325,15,101
0.325,16,101
0.325,17,101
0.325,18,101
0.325,19,101
0.325,20,101
0.350,01,116
0.350,02,116
0.350,03,116
0.350,04,116
0.350,05,116
0.350,06,116
0.350,07,116
0.350,08,116
0.350,09,116
0.350,10,116
0.350,11,116
0.350,12,116
0.350,13,116
0.350,14,116
0.350,15,116
0.350,16,116
0.350,17,116
0.350,18,116
0.350,19,116
0.350,20,116
0.375,01,116
0.375,02,116
0.375,03,116
0.375,04,116
0.375,05,116
0.375,06,116
0.375,07,116
0.375,08,116
0.375,09,116
0.375,10,116
0.375,11,116
0.375,12,116
0.375,13,116
0.375,14,116
0.375,15,116
0.375,16,116
0.375,17,116
0.375,18,116
0.375,19,116
0.375,20,116
0.4,01,141
0.4,02,141
0.4,03,141
0.4,04,141
0.4,05,141
0.4,06,141
0.4,07,141
0.4,08,141
0.4,09,141
0.4,10,141
0.4,11,141
0.4,12,141
0.4,13,141
0.4,14,141
0.4,15,141
0.4,16,141
0.4,17,141
0.4,18,141
0.4,19,141
0.4,20,141
0.425,01,147
0.425,02,147
0.425,03,147
0.425,04,147
0.425,05,147
0.425,06,147
0.425,07,147
0.425,08,147
0.425,09,147
0.425,10,147
0.425,11,147
0.425,12,147
0.425,13,147
0.425,14,147
0.425,15,147
0.425,16,147
0.425,17,147
0.425,18,147
0.425,19,147
0.425,20,147
0.45,01,147
0.45,02,147
0.45,03,147
0.45,04,147
0.45,05,147
0.45,06,147
0.45,07,147
0.45,08,147
0.45,09,147
0.45,10,147
0.45,11,147
0.45,12,147
0.45,13,147
0.45,14,147
0.45,15,147
0.45,16,147
0.45,17,147
0.45,18,147
0.45,19,147
0.45,20,147
0.475,01,163
0.475,02,163
0.475,03,163
0.475,04,163
0.475,05,163
0.475,06,163
0.475,07,163
0.475,08,163
0.475,09,163
0.475,10,163
0.475,11,163
0.475,12,163
0.475,13,163
0.475,14,163
0.475,15,163
0.475,16,163
0.475,17,163
0.475,18,163
0.475,19,163
0.475,20,163
0.5,01,163
0.5,02,163
0.5,03,163
0.5,04,163
0.5,05,163
0.5,06,163
0.5,07,163
0.5,08,163
0.5,09,163
0.5,10,163
0.5,11,163
0.5,12,163
0.5,13,163
0.5,14,163
0.5,15,163
0.5,16,163
0.5,17,163
0.5,18,163
0.5,19,163
0.5,20,163
